10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,=SUM(A1..A2),,SADAS,,,,,,,,,,,,,,,,,,,,,,
-12,=SUM(A1..A5),=AVER(A1..A3),,,,,,,,[BASDAS[D,,,,,,,,,asdasd,,,,,,,,,,
11,,,,,,2222.22,,,SADASW,DASD,,,,,,,,,321,,,,,,,,,,
,,,,,,,,,,,,,,12.00,,1212,,,,,,,,,,,,,
=SUM(A1..A3) + A2,,,,,=A1 + A2 ,,,,,,,,,,=SUM(A1..A3),,,,,,,,,,,,,,
,,100.00,,,,,,,,,,,,=AVER(A1..A4),,,,,,,,,,,,,,,
,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,=SUM(A1..A4),,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASDASWA,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ASDASD,,,,,,asdas,,,,,,,,,,,,,,,,
,,,20.20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20 20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,asdas,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
